QueryID,Query,Query Category,System Output,Remarks,RetrievedCallIDs,IDRecall
Q1,Q1,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q2,Q2,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q3,Q3,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q4,Q4,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q5,Q5,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q6,Q6,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q7,Q7,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q8,Q8,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q9,Q9,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q10,Q10,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q11,Q11,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q12,Q12,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q13,Q13,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q14,Q14,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q15,Q15,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q16,Q16,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q17,Q17,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q18,Q18,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q19,Q19,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q20,Q20,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q21,Q21,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q22,Q22,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q23,Q23,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q24,Q24,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q25,Q25,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q26,Q26,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q27,Q27,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q28,Q28,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q29,Q29,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q30,Q30,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q31,Q31,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q32,Q32,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q33,Q33,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q34,Q34,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q35,Q35,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q36,Q36,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q37,Q37,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q38,Q38,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q39,Q39,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q40,Q40,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q41,Q41,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q42,Q42,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q43,Q43,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q44,Q44,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q45,Q45,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q46,Q46,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q47,Q47,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q48,Q48,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q49,Q49,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q50,Q50,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q51,Q51,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q52,Q52,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q53,Q53,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q54,Q54,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q55,Q55,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q56,Q56,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q57,Q57,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q58,Q58,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q59,Q59,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q60,Q60,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q61,Q61,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q62,Q62,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q63,Q63,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q64,Q64,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q65,Q65,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q66,Q66,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q67,Q67,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q68,Q68,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q69,Q69,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q70,Q70,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q71,Q71,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q72,Q72,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
