Query Id,Query,Query Category,System Output,Remarks
Q1,Why was this delivery escalated?,Delivery Investigation,,
Q2,What issue did the customer report?,Delivery Investigation,,
Q3,Was the package delivered successfully?,Delivery Investigation,,
Q4,Why was this delivery escalated?,Delivery Investigation,,
Q5,What issue did the customer report?,Delivery Investigation,,
Q6,Was the package delivered successfully?,Delivery Investigation,,
Q7,Why was this delivery escalated?,Delivery Investigation,,
Q8,What issue did the customer report?,Delivery Investigation,,
Q9,Was the package delivered successfully?,Delivery Investigation,,
Q10,Why was this delivery escalated?,Delivery Investigation,,
Q11,What issue did the customer report?,Delivery Investigation,,
Q12,Was the package delivered successfully?,Delivery Investigation,,
Q13,Why was this delivery escalated?,Delivery Investigation,,
Q14,What issue did the customer report?,Delivery Investigation,,
Q15,Was the package delivered successfully?,Delivery Investigation,,
Q16,Why was this delivery escalated?,Delivery Investigation,,
Q17,What issue did the customer report?,Delivery Investigation,,
Q18,Was the package delivered successfully?,Delivery Investigation,,
Q19,Why was this delivery escalated?,Delivery Investigation,,
Q20,What issue did the customer report?,Delivery Investigation,,
Q21,Was the package delivered successfully?,Delivery Investigation,,
Q22,Why was this delivery escalated?,Delivery Investigation,,
Q23,What issue did the customer report?,Delivery Investigation,,
Q24,Was the package delivered successfully?,Delivery Investigation,,
Q25,Why was this delivery escalated?,Delivery Investigation,,
Q26,What issue did the customer report?,Delivery Investigation,,
Q27,Was the package delivered successfully?,Delivery Investigation,,
Q28,Why was this delivery escalated?,Delivery Investigation,,
Q29,What issue did the customer report?,Delivery Investigation,,
Q30,Was the package delivered successfully?,Delivery Investigation,,
Q31,Why was this delivery escalated?,Delivery Investigation,,
Q32,What issue did the customer report?,Delivery Investigation,,
Q33,Was the package delivered successfully?,Delivery Investigation,,
Q34,Why was this delivery escalated?,Delivery Investigation,,
Q35,What issue did the customer report?,Delivery Investigation,,
Q36,Was the package delivered successfully?,Delivery Investigation,,
Q37,Why was this delivery escalated?,Delivery Investigation,,
Q38,What issue did the customer report?,Delivery Investigation,,
Q39,Was the package delivered successfully?,Delivery Investigation,,
Q40,Why was this delivery escalated?,Delivery Investigation,,
Q41,What issue did the customer report?,Delivery Investigation,,
Q42,Was the package delivered successfully?,Delivery Investigation,,
Q43,Why was this delivery escalated?,Delivery Investigation,,
Q44,What issue did the customer report?,Delivery Investigation,,
Q45,Was the package delivered successfully?,Delivery Investigation,,
Q46,Why was this delivery escalated?,Delivery Investigation,,
Q47,What issue did the customer report?,Delivery Investigation,,
Q48,Was the package delivered successfully?,Delivery Investigation,,
Q49,Why was this delivery escalated?,Delivery Investigation,,
Q50,What issue did the customer report?,Delivery Investigation,,
Q51,Was the package delivered successfully?,Delivery Investigation,,
Q52,Why was this delivery escalated?,Delivery Investigation,,
Q53,What issue did the customer report?,Delivery Investigation,,
Q54,Was the package delivered successfully?,Delivery Investigation,,
Q55,Why was this delivery escalated?,Delivery Investigation,,
Q56,What issue did the customer report?,Delivery Investigation,,
Q57,Was the package delivered successfully?,Delivery Investigation,,
Q58,Why was this delivery escalated?,Delivery Investigation,,
Q59,What issue did the customer report?,Delivery Investigation,,
Q60,Was the package delivered successfully?,Delivery Investigation,,
Q61,Why was this delivery escalated?,Delivery Investigation,,
Q62,What issue did the customer report?,Delivery Investigation,,
Q63,Was the package delivered successfully?,Delivery Investigation,,
Q64,Why was this delivery escalated?,Delivery Investigation,,
Q65,What issue did the customer report?,Delivery Investigation,,
Q66,Was the package delivered successfully?,Delivery Investigation,,
Q67,Why was this delivery escalated?,Delivery Investigation,,
Q68,What issue did the customer report?,Delivery Investigation,,
Q69,Was the package delivered successfully?,Delivery Investigation,,
Q70,Why was this delivery escalated?,Delivery Investigation,,
Q71,What issue did the customer report?,Delivery Investigation,,
Q72,Was the package delivered successfully?,Delivery Investigation,,
Q73,Why was this delivery escalated?,Delivery Investigation,,
Q74,What issue did the customer report?,Delivery Investigation,,
Q75,Was the package delivered successfully?,Delivery Investigation,,
Q76,Why was this delivery escalated?,Delivery Investigation,,
Q77,What issue did the customer report?,Delivery Investigation,,
Q78,Was the package delivered successfully?,Delivery Investigation,,
Q79,Why was this delivery escalated?,Delivery Investigation,,
Q80,What issue did the customer report?,Delivery Investigation,,
Q81,Was the package delivered successfully?,Delivery Investigation,,
Q82,Why was this delivery escalated?,Delivery Investigation,,
Q83,What issue did the customer report?,Delivery Investigation,,
Q84,Was the package delivered successfully?,Delivery Investigation,,
Q85,Why was this delivery escalated?,Delivery Investigation,,
Q86,What issue did the customer report?,Delivery Investigation,,
Q87,Was the package delivered successfully?,Delivery Investigation,,
Q88,Why was this delivery escalated?,Delivery Investigation,,
Q89,What issue did the customer report?,Delivery Investigation,,
Q90,Was the package delivered successfully?,Delivery Investigation,,
Q91,Why was this delivery escalated?,Delivery Investigation,,
Q92,What issue did the customer report?,Delivery Investigation,,
Q93,Was the package delivered successfully?,Delivery Investigation,,
Q94,Why was this delivery escalated?,Delivery Investigation,,
Q95,What issue did the customer report?,Delivery Investigation,,
Q96,Was the package delivered successfully?,Delivery Investigation,,
Q97,Why was this delivery escalated?,Delivery Investigation,,
Q98,What issue did the customer report?,Delivery Investigation,,
Q99,Was the package delivered successfully?,Delivery Investigation,,
Q100,Why was this delivery escalated?,Delivery Investigation,,
Q101,What issue did the customer report?,Delivery Investigation,,
Q102,Was the package delivered successfully?,Delivery Investigation,,
Q103,Why was this delivery escalated?,Delivery Investigation,,
Q104,What issue did the customer report?,Delivery Investigation,,
Q105,Was the package delivered successfully?,Delivery Investigation,,
Q106,Why was this delivery escalated?,Delivery Investigation,,
Q107,What issue did the customer report?,Delivery Investigation,,
Q108,Was the package delivered successfully?,Delivery Investigation,,
Q109,Why was this delivery escalated?,Delivery Investigation,,
Q110,What issue did the customer report?,Delivery Investigation,,
Q111,Was the package delivered successfully?,Delivery Investigation,,
Q112,Why was this delivery escalated?,Delivery Investigation,,
Q113,What issue did the customer report?,Delivery Investigation,,
Q114,Was the package delivered successfully?,Delivery Investigation,,
Q115,Why was this delivery escalated?,Delivery Investigation,,
Q116,What issue did the customer report?,Delivery Investigation,,
Q117,Was the package delivered successfully?,Delivery Investigation,,
Q118,Why was this delivery escalated?,Delivery Investigation,,
Q119,What issue did the customer report?,Delivery Investigation,,
Q120,Was the package delivered successfully?,Delivery Investigation,,
Q121,Why was this delivery escalated?,Delivery Investigation,,
Q122,What issue did the customer report?,Delivery Investigation,,
Q123,Was the package delivered successfully?,Delivery Investigation,,
Q124,Why was this delivery escalated?,Delivery Investigation,,
Q125,What issue did the customer report?,Delivery Investigation,,
Q126,Was the package delivered successfully?,Delivery Investigation,,
Q127,Why was this delivery escalated?,Delivery Investigation,,
Q128,What issue did the customer report?,Delivery Investigation,,
Q129,Was the package delivered successfully?,Delivery Investigation,,
Q130,Why was this delivery escalated?,Delivery Investigation,,
Q131,What issue did the customer report?,Delivery Investigation,,
Q132,Was the package delivered successfully?,Delivery Investigation,,
Q133,Why was this delivery escalated?,Delivery Investigation,,
Q134,What issue did the customer report?,Delivery Investigation,,
Q135,Was the package delivered successfully?,Delivery Investigation,,
Q136,Why was this delivery escalated?,Delivery Investigation,,
Q137,What issue did the customer report?,Delivery Investigation,,
Q138,Was the package delivered successfully?,Delivery Investigation,,
Q139,Why was this delivery escalated?,Delivery Investigation,,
Q140,What issue did the customer report?,Delivery Investigation,,
Q141,Was the package delivered successfully?,Delivery Investigation,,
Q142,Why was this delivery escalated?,Delivery Investigation,,
Q143,What issue did the customer report?,Delivery Investigation,,
Q144,Was the package delivered successfully?,Delivery Investigation,,
Q145,Why was this delivery escalated?,Delivery Investigation,,
Q146,What issue did the customer report?,Delivery Investigation,,
Q147,Was the package delivered successfully?,Delivery Investigation,,
Q148,Why was this delivery escalated?,Delivery Investigation,,
Q149,What issue did the customer report?,Delivery Investigation,,
Q150,Was the package delivered successfully?,Delivery Investigation,,
Q151,Why was this delivery escalated?,Delivery Investigation,,
Q152,What issue did the customer report?,Delivery Investigation,,
Q153,Was the package delivered successfully?,Delivery Investigation,,
Q154,Why was this delivery escalated?,Delivery Investigation,,
Q155,What issue did the customer report?,Delivery Investigation,,
Q156,Was the package delivered successfully?,Delivery Investigation,,
Q157,Why was this delivery escalated?,Delivery Investigation,,
Q158,What issue did the customer report?,Delivery Investigation,,
Q159,Was the package delivered successfully?,Delivery Investigation,,
Q160,Why was this delivery escalated?,Delivery Investigation,,
Q161,What issue did the customer report?,Delivery Investigation,,
Q162,Was the package delivered successfully?,Delivery Investigation,,
Q163,Why was this delivery escalated?,Delivery Investigation,,
Q164,What issue did the customer report?,Delivery Investigation,,
